<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;15;08/31/20;1645;127.5000000;128.4500000;126.3500000;128.2800000;839694
US1.AAPL;15;08/31/20;1700;128.3300000;128.5000000;127.4500000;128.0300000;580865
US1.AAPL;15;08/31/20;1715;128.0300000;128.2800000;127.1400000;127.9300000;403966
US1.AAPL;15;08/31/20;1730;127.9500000;128.4900000;127.7700000;128.2400000;442410
US1.AAPL;15;08/31/20;1745;128.2300000;128.7500000;127.8500000;128.1600000;470903
US1.AAPL;15;08/31/20;1800;128.1600000;129.5000000;127.9200000;129.0700000;486475
US1.AAPL;15;08/31/20;1815;129.0800000;130.0500000;129.0500000;129.5300000;466787
US1.AAPL;15;08/31/20;1830;129.5300000;129.6500000;128.0000000;128.5500000;477134
US1.AAPL;15;08/31/20;1845;128.5100000;128.9900000;127.7000000;128.8700000;325034
US1.AAPL;15;08/31/20;1900;128.9000000;129.5100000;128.8000000;128.9100000;240280
US1.AAPL;15;08/31/20;1915;128.9500000;129.2900000;128.5300000;128.7900000;193782
US1.AAPL;15;08/31/20;1930;128.8200000;129.4000000;128.8200000;129.3100000;157927
US1.AAPL;15;08/31/20;1945;129.3100000;129.5000000;128.9700000;129.2200000;164320
US1.AAPL;15;08/31/20;2000;129.2300000;129.6900000;129.1600000;129.4700000;163847
US1.AAPL;15;08/31/20;2015;129.4700000;130.3600000;129.4000000;130.3500000;406288
US1.AAPL;15;08/31/20;2030;130.3700000;130.9000000;130.2000000;130.2800000;263151
US1.AAPL;15;08/31/20;2045;130.2800000;130.9500000;130.2800000;130.8700000;164573
US1.AAPL;15;08/31/20;2100;130.8900000;131.0000000;130.5200000;130.6800000;149709
US1.AAPL;15;08/31/20;2115;130.6700000;130.8800000;130.5000000;130.7900000;133774
US1.AAPL;15;08/31/20;2130;130.7900000;130.8700000;130.5900000;130.6200000;134776
US1.AAPL;15;08/31/20;2145;130.5800000;130.6100000;129.7700000;130.2600000;258625
US1.AAPL;15;08/31/20;2200;130.2600000;130.6900000;130.2300000;130.5100000;143168
US1.AAPL;15;08/31/20;2215;130.5100000;130.5900000;129.8900000;130.2100000;196052
US1.AAPL;15;08/31/20;2230;130.2000000;130.2400000;129.3800000;130.0000000;281202
US1.AAPL;15;08/31/20;2245;129.9900000;130.2500000;129.8900000;130.0300000;250339
US1.AAPL;15;08/31/20;2300;130.0600000;130.2700000;128.7600000;128.7600000;734735
US1.AAPL;15;09/01/20;1645;132.7600000;132.9000000;130.5300000;131.2500000;596270
US1.AAPL;15;09/01/20;1700;131.2200000;132.0300000;130.9400000;131.6100000;355596
US1.AAPL;15;09/01/20;1715;131.6500000;132.0700000;130.7900000;130.9100000;302881
US1.AAPL;15;09/01/20;1730;130.9000000;131.9000000;130.8500000;131.8100000;180374
US1.AAPL;15;09/01/20;1745;131.8200000;132.2000000;131.5100000;131.6800000;165290
US1.AAPL;15;09/01/20;1800;131.6600000;132.0000000;131.5900000;131.7700000;108162
US1.AAPL;15;09/01/20;1815;131.7800000;132.4700000;131.7600000;132.4700000;159814
US1.AAPL;15;09/01/20;1830;132.4500000;132.6500000;131.9400000;132.3500000;194312
US1.AAPL;15;09/01/20;1845;132.3600000;132.4500000;131.8000000;132.0100000;125849
US1.AAPL;15;09/01/20;1900;132.0000000;132.3800000;131.8200000;132.3000000;109189
US1.AAPL;15;09/01/20;1915;132.3000000;132.6700000;132.2500000;132.6100000;128553
US1.AAPL;15;09/01/20;1930;132.6100000;132.6300000;132.2500000;132.5600000;79606
US1.AAPL;15;09/01/20;1945;132.5200000;133.0500000;132.5200000;132.8300000;191184
US1.AAPL;15;09/01/20;2000;132.8500000;133.9400000;132.8500000;133.7100000;215189
US1.AAPL;15;09/01/20;2015;133.7100000;133.7600000;133.2300000;133.4400000;178268
US1.AAPL;15;09/01/20;2030;133.4400000;133.7400000;133.3900000;133.5800000;120652
US1.AAPL;15;09/01/20;2045;133.5700000;134.6700000;133.5700000;134.6400000;197820
US1.AAPL;15;09/01/20;2100;134.6800000;134.7900000;134.3000000;134.6700000;200643
US1.AAPL;15;09/01/20;2115;134.6700000;134.6800000;133.9700000;134.3000000;175044
US1.AAPL;15;09/01/20;2130;134.2900000;134.6000000;134.1500000;134.5700000;132442
US1.AAPL;15;09/01/20;2145;134.5700000;134.6700000;134.1800000;134.2300000;114506
US1.AAPL;15;09/01/20;2200;134.2000000;134.2000000;133.6800000;133.9600000;157712
US1.AAPL;15;09/01/20;2215;133.9700000;134.3800000;133.9200000;134.1200000;137667
US1.AAPL;15;09/01/20;2230;134.1500000;134.3450000;133.7800000;133.8300000;140586
US1.AAPL;15;09/01/20;2245;133.8500000;134.2300000;133.5600000;134.1400000;231754
