event_timestamp,registration_timestamp,inapp_size
1611154038,1610971359,5
1611759898,1610972522,3
1611057594,1610974545,5
1611562555,1610976251,3
1611082290,1610976461,3
1611082495,1610976461,3
1611152993,1610976461,3
1611601003,1610976461,1
1610977813,1610976461,5
1611417925,1610976461,3
1611005100,1610976834,5
1610977439,1610976987,1
1616215389,1610977539,5
1616215560,1610977539,1
1616909300,1610977539,10
1618194451,1610977539,5
1611016372,1610978130,10
1611662378,1610978130,10
1611922809,1610978130,10
1611232464,1610978130,5
1611232606,1610978130,10
1611437167,1610978130,3
1611611818,1610978130,3
1611872585,1610978130,5
1612786588,1610978130,3
1613008814,1610978130,20
1611016603,1610978130,5
1612298348,1610978130,1
1612875013,1610978130,10
1611870543,1610978130,20
1618753275,1610978630,5
1611139499,1610979056,5
1611050103,1610979056,3
1611050131,1610979056,10
1611050153,1610979056,5
1610995055,1610979263,5
1611238737,1610980224,1
1611270358,1610981247,20
1611270433,1610981247,3
1611270722,1610981247,10
1611270249,1610981247,5
1611270685,1610981247,10
1611270770,1610981247,10
1611270404,1610981247,5
1611326929,1610981512,3
1611406612,1610981512,3
1611541539,1610981512,5
1611327064,1610981512,3
1610983303,1610983286,5
1616712515,1610983911,3
1617481017,1610983911,5
1611045062,1610984134,3
1611159169,1610984134,5
1611403333,1610984134,5
1611413180,1610984134,5
1612015169,1610984134,10
1611891680,1610984134,3
1611776580,1610984213,10
1611773479,1610984213,5
1611772676,1610984213,3
1611774306,1610984213,3
1611101541,1610986012,10
1610987039,1610986968,10
1611540611,1610987580,5
1611540856,1610987580,3
1611975523,1610987580,3
1611407459,1610987843,5
1610989344,1610988119,5
1611959384,1610988738,20
1611959499,1610988738,3
1611959524,1610988738,10
1610988873,1610988738,3
1610988834,1610988738,10
1610988857,1610988738,5
1611959557,1610988738,10
1611959734,1610988738,20
1611966294,1610988738,20
1611968627,1610988738,20
1611970792,1610988738,5
1612074001,1610988738,3
1611959478,1610988738,5
1611970767,1610988738,3
1610992316,1610990459,5
1610993402,1610991228,3
1610993460,1610991228,3
1610993996,1610991228,10
1611028888,1610991228,10
1610992181,1610991228,5
1610994426,1610991228,3
1611028754,1610991228,1
1611336844,1610991228,10
1611336900,1610991228,20
1611365069,1610991136,3
1616371640,1610992074,5
1616370056,1610992074,5
1611056318,1610992214,5
1611349065,1610992437,1
1611603038,1610992437,1
1611002204,1610992605,5
1611095582,1610993428,10
1611101858,1610994591,3
1611004308,1610994591,5
1616296316,1610994591,5
1616296373,1610994591,3
1612986944,1610995165,5
1614478542,1610995111,3
1611080352,1610995473,5
1615925392,1610995621,5
1612490850,1610996296,5
1611109907,1610996296,5
1611351215,1610996296,5
1611426275,1610996296,3
1611512198,1610996296,5
1615737182,1610996296,20
1611586958,1610996354,5
1611587158,1610996354,3
1615245138,1610996388,10
1615245421,1610996388,5
1611000749,1610999410,5
1617481182,1610999558,3
1610999834,1610999723,5
1611009046,1610999867,5
1611057542,1610999867,3
1611000878,1611000505,5
1611000800,1611000505,5
1611888125,1611001255,5
1611199791,1611002676,3
1611590339,1611002932,5
1611518259,1611004544,3
1611437641,1611006380,3
1618502208,1611007822,5
1613946280,1611007822,3
1611013621,1611008372,10
1611017427,1611010062,10
1612049672,1611010324,20
1612050019,1611010324,3
1612049975,1611010324,5
1618718792,1611010453,3
1612499650,1611012898,3
1612499755,1611012898,3
1611542079,1611013481,5
1611099286,1611015269,1
1611385418,1611016080,3
1611034697,1611016416,3
1611172843,1611016416,3
1611399042,1611016416,3
1611443915,1611016416,5
1611030346,1611016416,3
1611381357,1611016416,3
1611449328,1611016416,5
1611351346,1611016416,5
1611107165,1611018046,10
1611018304,1611018046,20
1618241046,1611018046,10
1618241309,1611018046,10
1611433291,1611018862,20
1611433309,1611018862,1
1613361373,1611018893,3
1611314255,1611019527,5
1611356150,1611019919,3
1612048879,1611019919,1
1611106000,1611020748,1
1611179619,1611020632,5
1613145617,1611020891,3
1613145981,1611020891,10
1611022775,1611021306,5
1611675416,1611022026,3
1611788935,1611022026,5
1611453467,1611022754,5
1611420726,1611022754,5
1611419424,1611022754,3
1611028709,1611023387,5
1611637705,1611024068,3
1611637583,1611024068,3
1611637825,1611024068,1
1611881323,1611025799,5
1611881458,1611025799,5
1612899438,1611025799,5
1613252117,1611025799,1
1613590906,1611025799,5
1614735869,1611025799,5
1615498113,1611025799,5
1616266267,1611025799,3
1611710815,1611025799,5
1611881354,1611025799,5
1616713724,1611025799,5
1616714064,1611025799,20
1616738563,1611025799,10
1616738629,1611025799,5
1616775607,1611025799,10
1617220277,1611025799,1
1614884220,1611025799,3
1615312067,1611025799,5
1616692861,1611025799,10
1616713759,1611025799,5
1616775451,1611025799,5
1613590781,1611025799,5
1614736279,1611025799,3
1615907819,1611025799,10
1616515945,1611025799,5
1611583342,1611026237,3
1612906410,1611027307,3
1611029515,1611027307,1
1611029807,1611027307,3
1611234424,1611027307,5
1611031663,1611027307,1
1611552237,1611027221,5
1611219331,1611027504,5
1611369834,1611029554,3
1611032782,1611029913,1
1614384562,1611031031,3
1611106037,1611032778,3
1611367235,1611032415,3
1611962850,1611032415,1
1615932161,1611035908,5
1615932208,1611035908,3
1616777413,1611035908,5
1617851499,1611035908,5
1615553976,1611035908,5
1617201295,1611035908,3
1617504333,1611035908,5
1612846486,1611036125,5
1611471722,1611036125,3
1614315509,1611036125,10
1612072245,1611036125,3
1617105302,1611036125,3
1611471749,1611036125,3
1612072227,1611036125,5
1618143351,1611036125,5
1618666209,1611036125,5
1618666347,1611036125,1
1614399073,1611036125,5
1612597875,1611036125,5
1613884192,1611036125,5
1615015482,1611036125,5
1615123039,1611036125,3
1615021944,1611036125,3
1616304741,1611036125,3
1617105286,1611036125,3
1615619627,1611036125,5
1616304714,1611036125,3
1616304727,1611036125,3
1618033626,1611036125,10
1618404006,1611036125,1
